source,raw,reason
/notices/clearing/2016/03/Chadv16-135.html,"Bean Spread:  May 16 vs Jul 16 (SOYBEAN FUTURES) | Spec Increase [165.0, 150.0, 220.0, 200.0] S",non-outright (spread/combination) row for universe code; excluded from outright CSV
/notices/clearing/2016/03/Chadv16-135.html,"Bean Spread:  May 16 vs Jul 16 (SOYBEAN FUTURES) | Hedge/Member Increase [150.0, 150.0, 200.0, 200.0] S",non-outright (spread/combination) row for universe code; excluded from outright CSV
/notices/clearing/2016/03/Chadv16-135.html,"Bean Spread: All Undefined Spreads (SOYBEAN FUTURES) | Spec Decrease [1375.0, 1250.0, 935.0, 850.0] S",non-outright (spread/combination) row for universe code; excluded from outright CSV
/notices/clearing/2016/03/Chadv16-135.html,"Bean Spread: All Undefined Spreads (SOYBEAN FUTURES) | Hedge/Member Decrease [1250.0, 1250.0, 850.0, 850.0] S",non-outright (spread/combination) row for universe code; excluded from outright CSV
/notices/clearing/2016/03/Chadv16-135.html,"Corn Spread: All Undefined Spreads (CORN FUTURES) | Spec Decrease [880.0, 800.0, 715.0, 650.0] C",non-outright (spread/combination) row for universe code; excluded from outright CSV
/notices/clearing/2016/03/Chadv16-135.html,"Corn Spread: All Undefined Spreads (CORN FUTURES) | Hedge/Member Decrease [800.0, 800.0, 650.0, 650.0] C",non-outright (spread/combination) row for universe code; excluded from outright CSV
/notices/clearing/2016/03/Chadv16-135.html,"Corn Spread: May 16 vs Jul 16  (CORN FUTURES) | Spec Increase [110.0, 100.0, 165.0, 150.0] C",non-outright (spread/combination) row for universe code; excluded from outright CSV
/notices/clearing/2016/03/Chadv16-135.html,"Corn Spread: May 16 vs Jul 16  (CORN FUTURES) | Hedge/Member Increase [100.0, 100.0, 150.0, 150.0] C",non-outright (spread/combination) row for universe code; excluded from outright CSV
/notices/clearing/2016/03/Chadv16-136.html,"Bean Spread:  Jan 17 vs Jul 16 (SOYBEAN FUTURES) | Spec Increase [385.0, 350.0, 495.0, 450.0] S",non-outright (spread/combination) row for universe code; excluded from outright CSV
/notices/clearing/2016/03/Chadv16-136.html,"Bean Spread:  Jan 17 vs Jul 16 (SOYBEAN FUTURES) | Hedge/Member Increase [350.0, 350.0, 450.0, 450.0] S",non-outright (spread/combination) row for universe code; excluded from outright CSV
/notices/clearing/2016/03/Chadv16-136.html,"Bean Spread: Jan 17 vs Aug 16 (SOYBEAN FUTURES) | Spec Increase [330.0, 300.0, 440.0, 400.0] S",non-outright (spread/combination) row for universe code; excluded from outright CSV
/notices/clearing/2016/03/Chadv16-136.html,"Bean Spread: Jan 17 vs Aug 16 (SOYBEAN FUTURES) | Hedge/Member Increase [300.0, 300.0, 400.0, 400.0] S",non-outright (spread/combination) row for universe code; excluded from outright CSV
/notices/clearing/2016/03/Chadv16-136.html,"Bean Spread: May 16 vs Aug 16 (SOYBEAN FUTURES) | Spec Increase [220.0, 200.0, 275.0, 250.0] S",non-outright (spread/combination) row for universe code; excluded from outright CSV
/notices/clearing/2016/03/Chadv16-136.html,"Bean Spread: May 16 vs Aug 16 (SOYBEAN FUTURES) | Hedge/Member Increase [200.0, 200.0, 250.0, 250.0] S",non-outright (spread/combination) row for universe code; excluded from outright CSV
/notices/clearing/2016/03/Chadv16-136.html,"Bean Spread: Nov 16 vs Jan 17 (SOYBEAN FUTURES) | Spec Increase [330.0, 300.0, 385.0, 350.0] S",non-outright (spread/combination) row for universe code; excluded from outright CSV
/notices/clearing/2016/03/Chadv16-136.html,"Bean Spread: Nov 16 vs Jan 17 (SOYBEAN FUTURES) | Hedge/Member Increase [300.0, 300.0, 350.0, 350.0] S",non-outright (spread/combination) row for universe code; excluded from outright CSV
/notices/clearing/2016/04/Chadv16-144.html,,no outright-rate content (spread/credit-only advisory); counted handled
/notices/clearing/2016/04/Chadv16-153.html,Spec | Decrease | USD | 880 | 800 | 770 | 700 | Less than 14 | days to expire,malformed PDF rate row
/notices/clearing/2016/04/Chadv16-153.html,Hedge/Member | Decrease | USD | 800 | 800 | 700 | 700 | Less than 14 | days to expire,malformed PDF rate row
/notices/clearing/2016/04/Chadv16-153.html,Spec | Decrease | USD | 440 | 400 | 385 | 350 | Less than 14 | days to expire,malformed PDF rate row
/notices/clearing/2016/04/Chadv16-153.html,Hedge/Member | Decrease | USD | 400 | 400 | 350 | 350 | Less than 14 | days to expire,malformed PDF rate row
/notices/clearing/2016/04/Chadv16-153.html,"Spec | Decrease | USD | 5,720 | 5,200 | 5,500 | 5,000 | Contracts 1-4 | ZD9130",malformed PDF rate row
/notices/clearing/2016/04/Chadv16-153.html,"Hedge/Member | Decrease | USD | 5,200 | 5,200 | 5,000 | 5,000 | Contracts 1-4 | ZD9130",malformed PDF rate row
/notices/clearing/2016/04/Chadv16-153.html,"Spec | Decrease | USD | 5,720 | 5,200 | 5,500 | 5,000 | Contracts 5-8 | ZD9130",malformed PDF rate row
/notices/clearing/2016/04/Chadv16-153.html,"Hedge/Member | Decrease | USD | 5,200 | 5,200 | 5,000 | 5,000 | Contracts 5-8 | ZD9130",malformed PDF rate row
/notices/clearing/2016/04/Chadv16-153.html,"Spec | Decrease | USD | 5,720 | 5,200 | 5,500 | 5,000 | Contracts 9+ | ZD9130",malformed PDF rate row
/notices/clearing/2016/04/Chadv16-153.html,"Hedge/Member | Decrease | USD | 5,200 | 5,200 | 5,000 | 5,000 | Contracts 9+ | ZD9130",malformed PDF rate row
/notices/clearing/2016/04/Chadv16-153.html,"Spec | Decrease | USD | 1,100 | 1,000 | 990 | 900 | Contracts 9+ | ZB9105",malformed PDF rate row
/notices/clearing/2016/04/Chadv16-153.html,"Hedge/Member | Decrease | USD | 1,000 | 1,000 | 900 | 900 | Contracts 9+ | ZB9105",malformed PDF rate row
/notices/clearing/2016/04/Chadv16-153.html,"20 South Wacker Drive Chicago, IL 60606 Ph.: (312) 648-3888 Fax: (312) 930-3187 cmegroup.com | Hedge/Member Decrease [2650.0, 2650.0, 2400.0, 2400.0] HG",non-outright (spread/combination) row for universe code; excluded from outright CSV
/notices/clearing/2016/04/Chadv16-153.html,"20 South Wacker Drive Chicago, IL 60606 Ph.: (312) 648-3888 Fax: (312) 930-3187 cmegroup.com | Spec Decrease [2915.0, 2650.0, 2640.0, 2400.0] HG",non-outright (spread/combination) row for universe code; excluded from outright CSV
/notices/clearing/2016/04/Chadv16-153.html,"20 South Wacker Drive Chicago, IL 60606 Ph.: (312) 648-3888 Fax: (312) 930-3187 cmegroup.com | Hedge/Member Decrease [2650.0, 2650.0, 2400.0, 2400.0] HG",non-outright (spread/combination) row for universe code; excluded from outright CSV
/notices/clearing/2016/04/Chadv16-153.html,"20 South Wacker Drive Chicago, IL 60606 Ph.: (312) 648-3888 Fax: (312) 930-3187 cmegroup.com | Spec Decrease [2915.0, 2650.0, 2640.0, 2400.0] HG",non-outright (spread/combination) row for universe code; excluded from outright CSV
/notices/clearing/2016/04/Chadv16-153.html,"20 South Wacker Drive Chicago, IL 60606 Ph.: (312) 648-3888 Fax: (312) 930-3187 cmegroup.com | Hedge/Member Decrease [2650.0, 2650.0, 2400.0, 2400.0] HG",non-outright (spread/combination) row for universe code; excluded from outright CSV
/notices/clearing/2016/04/Chadv16-153.html,"20 South Wacker Drive Chicago, IL 60606 Ph.: (312) 648-3888 Fax: (312) 930-3187 cmegroup.com | Spec Decrease [2915.0, 2650.0, 2640.0, 2400.0] HG",non-outright (spread/combination) row for universe code; excluded from outright CSV
/notices/clearing/2016/04/Chadv16-153.html,"20 South Wacker Drive Chicago, IL 60606 Ph.: (312) 648-3888 Fax: (312) 930-3187 cmegroup.com | Hedge/Member Decrease [2650.0, 2650.0, 2400.0, 2400.0] HG",non-outright (spread/combination) row for universe code; excluded from outright CSV
/notices/clearing/2016/04/Chadv16-153.html,"20 South Wacker Drive Chicago, IL 60606 Ph.: (312) 648-3888 Fax: (312) 930-3187 cmegroup.com | Spec Decrease [2915.0, 2650.0, 2640.0, 2400.0] HG",non-outright (spread/combination) row for universe code; excluded from outright CSV
/notices/clearing/2016/04/Chadv16-153.html,"20 South Wacker Drive Chicago, IL 60606 Ph.: (312) 648-3888 Fax: (312) 930-3187 cmegroup.com | Hedge/Member Decrease [2650.0, 2650.0, 2400.0, 2400.0] HG",non-outright (spread/combination) row for universe code; excluded from outright CSV
/notices/clearing/2016/04/Chadv16-153.html,"20 South Wacker Drive Chicago, IL 60606 Ph.: (312) 648-3888 Fax: (312) 930-3187 cmegroup.com | Spec Decrease [2915.0, 2650.0, 2640.0, 2400.0] HG",non-outright (spread/combination) row for universe code; excluded from outright CSV
/notices/clearing/2016/04/Chadv16-153.html,"20 South Wacker Drive Chicago, IL 60606 Ph.: (312) 648-3888 Fax: (312) 930-3187 cmegroup.com | Hedge/Member Decrease [2650.0, 2650.0, 2400.0, 2400.0] HG",non-outright (spread/combination) row for universe code; excluded from outright CSV
/notices/clearing/2016/04/Chadv16-153.html,"20 South Wacker Drive Chicago, IL 60606 Ph.: (312) 648-3888 Fax: (312) 930-3187 cmegroup.com | Spec Decrease [2805.0, 2550.0, 2530.0, 2300.0] HG",non-outright (spread/combination) row for universe code; excluded from outright CSV
/notices/clearing/2016/04/Chadv16-153.html,"20 South Wacker Drive Chicago, IL 60606 Ph.: (312) 648-3888 Fax: (312) 930-3187 cmegroup.com | Hedge/Member Decrease [2550.0, 2550.0, 2300.0, 2300.0] HG",non-outright (spread/combination) row for universe code; excluded from outright CSV
/notices/clearing/2016/04/Chadv16-153.html,"20 South Wacker Drive Chicago, IL 60606 Ph.: (312) 648-3888 Fax: (312) 930-3187 cmegroup.com | Spec Decrease [2805.0, 2550.0, 2530.0, 2300.0] HG",non-outright (spread/combination) row for universe code; excluded from outright CSV
/notices/clearing/2016/04/Chadv16-153.html,"20 South Wacker Drive Chicago, IL 60606 Ph.: (312) 648-3888 Fax: (312) 930-3187 cmegroup.com | Hedge/Member Decrease [2550.0, 2550.0, 2300.0, 2300.0] HG",non-outright (spread/combination) row for universe code; excluded from outright CSV
/notices/clearing/2016/04/Chadv16-153.html,"20 South Wacker Drive Chicago, IL 60606 Ph.: (312) 648-3888 Fax: (312) 930-3187 cmegroup.com | Spec Decrease [2805.0, 2550.0, 2530.0, 2300.0] HG",non-outright (spread/combination) row for universe code; excluded from outright CSV
/notices/clearing/2016/04/Chadv16-153.html,"20 South Wacker Drive Chicago, IL 60606 Ph.: (312) 648-3888 Fax: (312) 930-3187 cmegroup.com | Hedge/Member Decrease [2550.0, 2550.0, 2300.0, 2300.0] HG",non-outright (spread/combination) row for universe code; excluded from outright CSV
/notices/clearing/2016/04/Chadv16-153.html,"20 South Wacker Drive Chicago, IL 60606 Ph.: (312) 648-3888 Fax: (312) 930-3187 cmegroup.com | Spec Decrease [2805.0, 2550.0, 2530.0, 2300.0] HG",non-outright (spread/combination) row for universe code; excluded from outright CSV
/notices/clearing/2016/04/Chadv16-153.html,"20 South Wacker Drive Chicago, IL 60606 Ph.: (312) 648-3888 Fax: (312) 930-3187 cmegroup.com | Hedge/Member Decrease [2550.0, 2550.0, 2300.0, 2300.0] HG",non-outright (spread/combination) row for universe code; excluded from outright CSV
/notices/clearing/2016/04/Chadv16-153.html,"20 South Wacker Drive Chicago, IL 60606 Ph.: (312) 648-3888 Fax: (312) 930-3187 cmegroup.com | Spec Decrease [2805.0, 2550.0, 2530.0, 2300.0] HG",non-outright (spread/combination) row for universe code; excluded from outright CSV
/notices/clearing/2016/04/Chadv16-153.html,"20 South Wacker Drive Chicago, IL 60606 Ph.: (312) 648-3888 Fax: (312) 930-3187 cmegroup.com | Hedge/Member Decrease [2550.0, 2550.0, 2300.0, 2300.0] HG",non-outright (spread/combination) row for universe code; excluded from outright CSV
/notices/clearing/2016/04/Chadv16-153.html,"20 South Wacker Drive Chicago, IL 60606 Ph.: (312) 648-3888 Fax: (312) 930-3187 cmegroup.com | Spec Decrease [2805.0, 2550.0, 2530.0, 2300.0] HG",non-outright (spread/combination) row for universe code; excluded from outright CSV
/notices/clearing/2016/04/Chadv16-153.html,"20 South Wacker Drive Chicago, IL 60606 Ph.: (312) 648-3888 Fax: (312) 930-3187 cmegroup.com | Hedge/Member Decrease [2550.0, 2550.0, 2300.0, 2300.0] HG",non-outright (spread/combination) row for universe code; excluded from outright CSV
/notices/clearing/2016/04/Chadv16-153.html,"20 South Wacker Drive Chicago, IL 60606 Ph.: (312) 648-3888 Fax: (312) 930-3187 cmegroup.com | Spec Decrease [2805.0, 2550.0, 2530.0, 2300.0] HG",non-outright (spread/combination) row for universe code; excluded from outright CSV
/notices/clearing/2016/04/Chadv16-153.html,"20 South Wacker Drive Chicago, IL 60606 Ph.: (312) 648-3888 Fax: (312) 930-3187 cmegroup.com | Hedge/Member Decrease [2550.0, 2550.0, 2300.0, 2300.0] HG",non-outright (spread/combination) row for universe code; excluded from outright CSV
