product,effective_date,notice_date,initial_margin,maintenance_margin,source_file,prev_maintenance_margin,prev_business_date,margin_short,prev_margin_short,pct_change,direction,tier_code,n_tiers_changed,n_tiers_total,frac_tiers_shift_match,likely_roll_shift,methodology_transition,is_series_start
6E,2020-06-30,,,2275.0,EC-2020-to-present.pdf,,,,,,series_start,EC-1,,23,,,False,True
6E,2020-08-28,,,2500.0,EC-2020-to-present.pdf,2275.0,2020-08-27,,,0.098901098901099,increase,EC-1,23,23,0.0,False,False,False
6E,2020-10-09,,,2900.0,EC-2020-to-present.pdf,2500.0,2020-10-08,,,0.15999999999999992,increase,EC-1,23,23,0.0,False,False,False
6E,2020-11-13,,,2600.0,EC-2020-to-present.pdf,2900.0,2020-11-12,,,-0.10344827586206895,decrease,EC-1,23,23,0.0,False,False,False
6E,2020-12-01,,,2300.0,EC-2020-to-present.pdf,2600.0,2020-11-30,,,-0.11538461538461542,decrease,EC-1,23,23,0.0,False,False,False
6E,2021-01-14,,,2000.0,EC-2020-to-present.pdf,2300.0,2021-01-13,,,-0.13043478260869568,decrease,EC-1,23,23,0.0,False,False,False
6E,2021-04-16,,,2200.0,EC-2020-to-present.pdf,2000.0,2021-04-15,,,0.10000000000000009,increase,EC-1,23,23,0.0,False,False,False
6E,2022-02-25,,,2400.0,EC-2020-to-present.pdf,2200.0,2022-02-24,,,0.09090909090909083,increase,EC-1,23,23,0.0,False,False,False
6E,2022-07-15,,,2650.0,EC-2020-to-present.pdf,2400.0,2022-07-14,,,0.10416666666666674,increase,EC-1,23,23,0.0,False,False,False
6E,2023-06-16,,,2400.0,EC-2020-to-present.pdf,2650.0,2023-06-15,,,-0.09433962264150941,decrease,EC-1,22,22,0.0,False,False,False
6E,2023-11-03,,,2100.0,EC-2020-to-present.pdf,2400.0,2023-11-02,,,-0.125,decrease,EC-1,23,23,0.0,False,False,False
6E,2024-10-04,,,2400.0,EC-2020-to-present.pdf,2100.0,2024-10-03,,,0.1428571428571428,increase,EC-1,23,23,0.0,False,False,False
6E,2024-10-18,,,2800.0,EC-2020-to-present.pdf,2400.0,2024-10-17,,,0.16666666666666674,increase,EC-1,23,23,0.0,False,False,False
6E,2024-11-14,,,2300.0,EC-2020-to-present.pdf,2800.0,2024-11-13,,,-0.1785714285714286,decrease,EC-1,23,23,0.0,False,False,False
