product,effective_date,maintenance,initial,initial_reliable,notice_date,rate_label,routes,source,maintenance_conflict_across_routes,conflict_resolution
6E,2000-01-01,1620.0,2187.0,False,,Spec,wayback-history,EC_prior_to_2009.pdf@20121109075907,False,
6E,2000-02-03,1800.0,2430.0,False,,Spec,wayback-history,EC_prior_to_2009.pdf@20121109075907,False,
6E,2000-05-30,2400.0,3240.0,False,,Spec,wayback-history,EC_prior_to_2009.pdf@20121109075907,False,
6E,2000-06-29,1800.0,2430.0,False,,Spec,wayback-history,EC_prior_to_2009.pdf@20121109075907,False,
6E,2000-08-31,1500.0,2025.0,False,,Spec,wayback-history,EC_prior_to_2009.pdf@20121109075907,False,
6E,2000-10-05,2400.0,3240.0,False,,Spec,wayback-history,EC_prior_to_2009.pdf@20121109075907,False,
6E,2000-11-02,2160.0,2916.0,False,,Spec,wayback-history,EC_prior_to_2009.pdf@20121109075907,False,
6E,2000-12-07,1800.0,2430.0,False,,Spec,wayback-history,EC_prior_to_2009.pdf@20121109075907,False,
6E,2001-01-04,1650.0,2228.0,False,,Spec,wayback-history,EC_prior_to_2009.pdf@20121109075907,False,
6E,2001-02-01,2520.0,3402.0,False,,Spec,wayback-history,EC_prior_to_2009.pdf@20121109075907,False,
6E,2001-03-01,1860.0,2511.0,False,,Spec,wayback-history,EC_prior_to_2009.pdf@20121109075907,False,
6E,2001-03-29,1980.0,2673.0,False,,Spec,wayback-history,EC_prior_to_2009.pdf@20121109075907,False,
6E,2001-05-03,1860.0,2511.0,False,,Spec,wayback-history,EC_prior_to_2009.pdf@20121109075907,False,
6E,2001-06-07,1740.0,2349.0,False,,Spec,wayback-history,EC_prior_to_2009.pdf@20121109075907,False,
6E,2001-09-06,1600.0,2160.0,False,,Spec,wayback-history,EC_prior_to_2009.pdf@20121109075907,False,
6E,2001-11-01,1500.0,2025.0,False,,Spec,wayback-history,EC_prior_to_2009.pdf@20121109075907,False,
6E,2002-01-31,1600.0,2160.0,False,,Spec,wayback-history,EC_prior_to_2009.pdf@20121109075907,False,
6E,2002-03-12,1500.0,2025.0,False,,Spec,wayback-history,EC_prior_to_2009.pdf@20121109075907,False,
6E,2002-05-30,1400.0,1890.0,False,,Spec,wayback-history,EC_prior_to_2009.pdf@20121109075907,False,
6E,2002-08-01,1800.0,2430.0,False,,Spec,wayback-history,EC_prior_to_2009.pdf@20121109075907,False,
6E,2002-08-29,2000.0,2700.0,False,,Spec,wayback-history,EC_prior_to_2009.pdf@20121109075907,False,
6E,2002-10-29,1900.0,2565.0,False,,Spec,wayback-history,EC_prior_to_2009.pdf@20121109075907,False,
6E,2002-12-05,1700.0,2295.0,False,,Spec,wayback-history,EC_prior_to_2009.pdf@20121109075907,False,
6E,2003-02-06,1600.0,2160.0,False,,Spec,wayback-history,EC_prior_to_2009.pdf@20121109075907,False,
6E,2003-03-06,1400.0,1890.0,False,,Spec,wayback-history,EC_prior_to_2009.pdf@20121109075907,False,
6E,2003-05-08,1700.0,2295.0,False,,Spec,wayback-history,EC_prior_to_2009.pdf@20121109075907,False,
6E,2003-06-05,2000.0,2700.0,False,,Spec,wayback-history,EC_prior_to_2009.pdf@20121109075907,False,
6E,2003-08-05,1800.0,2430.0,False,,Spec,wayback-history,EC_prior_to_2009.pdf@20121109075907,False,
6E,2003-10-02,1850.0,2498.0,False,,Spec,wayback-history,EC_prior_to_2009.pdf@20121109075907,False,
6E,2004-01-30,2400.0,3240.0,False,,Spec,wayback-history,EC_prior_to_2009.pdf@20121109075907,False,
6E,2004-03-15,2400.0,3240.0,False,,Spec,wayback-history,EC_prior_to_2009.pdf@20121109075907,False,
6E,2004-09-28,2000.0,2700.0,False,,Spec,wayback-history,EC_prior_to_2009.pdf@20121109075907,False,
6E,2004-12-20,2200.0,2970.0,False,,Spec,wayback-history,EC_prior_to_2009.pdf@20121109075907,False,
6E,2005-04-01,2000.0,2700.0,False,,Spec,wayback-history,EC_prior_to_2009.pdf@20121109075907,False,
6E,2005-04-28,1900.0,2565.0,False,,Spec,wayback-history,EC_prior_to_2009.pdf@20121109075907,False,
6E,2005-07-01,2300.0,3105.0,False,,Spec,wayback-history,EC_prior_to_2009.pdf@20121109075907,False,
6E,2005-10-05,2100.0,2835.0,False,,Spec,wayback-history,EC_prior_to_2009.pdf@20121109075907,False,
6E,2006-10-17,1900.0,2565.0,False,,Spec,wayback-history,EC_prior_to_2009.pdf@20121109075907,False,
6E,2007-01-25,1700.0,2295.0,False,,Spec,wayback-history,EC_prior_to_2009.pdf@20121109075907,False,
6E,2007-04-26,1500.0,2025.0,False,,Spec,wayback-history,EC_prior_to_2009.pdf@20121109075907,False,
6E,2007-12-10,1900.0,2565.0,False,,Spec,wayback-history,EC_prior_to_2009.pdf@20121109075907,False,
6E,2008-01-28,2100.0,2835.0,False,,Spec,wayback-history,EC_2008_to_present.pdf@20121109075818,False,
6E,2008-03-18,2200.0,2970.0,False,,Spec,wayback-history,EC_2008_to_present.pdf@20121109075818,False,
6E,2008-03-25,2300.0,3105.0,False,,Spec,wayback-history,EC_2008_to_present.pdf@20121109075818,False,
6E,2008-03-28,2600.0,3510.0,False,,Spec,wayback-history,EC_2008_to_present.pdf@20121109075818,False,
6E,2008-06-05,2300.0,3105.0,False,,Spec,wayback-history,EC_2008_to_present.pdf@20121109075818,False,
6E,2008-07-17,2400.0,3240.0,False,,Spec,wayback-history,EC_2008_to_present.pdf@20121109075818,False,
6E,2008-09-24,3400.0,4590.0,False,,Spec,wayback-history,EC_2008_to_present.pdf@20121109075818,False,
6E,2008-10-02,4300.0,5805.0,False,,Spec,wayback-history,EC_2008_to_present.pdf@20121109075818,False,
6E,2008-10-09,4500.0,6075.0,False,,Spec,wayback-history,EC_2008_to_present.pdf@20121109075818,False,
6E,2008-12-24,4700.0,6345.0,False,,Spec,wayback-history,EC_2008_to_present.pdf@20121109075818,False,
6E,2009-03-12,4500.0,6075.0,False,,Spec,wayback-history,EC_2008_to_present.pdf@20121109075818,False,
6E,2009-05-01,3500.0,4725.0,False,,Spec,wayback-history,EC_2008_to_present.pdf@20121109075818,False,
6E,2009-10-13,3000.0,4050.0,False,,Spec,wayback-history,EC_2008_to_present.pdf@20121109075818,False,
6E,2010-03-09,2500.0,3375.0,False,,Spec,wayback-history,EC_2008_to_present.pdf@20121109075818,False,
6E,2010-05-10,3000.0,4050.0,False,,Spec,wayback-history,EC_2008_to_present.pdf@20121109075818,False,
6E,2010-11-19,3200.0,4320.0,False,,Spec,wayback-history,EC_2008_to_present.pdf@20121109075818,False,
6E,2011-03-28,3000.0,4050.0,False,,Spec,wayback-history,EC_2008_to_present.pdf@20121109075818,False,
6E,2011-05-10,4000.0,5400.0,False,,Spec,wayback-history,EC_2008_to_present.pdf@20121109075818,False,
6E,2012-03-26,3500.0,4725.0,False,,Spec,wayback-history,EC_2008_to_present.pdf@20121109075818,False,
6E,2012-06-29,3000.0,4050.0,False,,Spec,wayback-history,EC_2008_to_present.pdf@20121109075818,False,
6E,2012-12-26,2500.0,2750.0,False,,Spec,wayback-history,EC_2008_to_present.pdf@20130326062952,False,
6E,2013-01-15,2250.0,2475.0,False,,Spec,wayback-history,EC_2008_to_present.pdf@20130326062952,False,
6E,2013-07-02,2250.0,2475.0,False,,Spec,wayback-history,EC_2008_to_present.pdf@20150501043052,False,
6E,2013-07-16,2500.0,2750.0,False,,Spec,wayback-history,EC_2008_to_present.pdf@20150501043052,False,
6E,2013-11-22,2250.0,2475.0,False,,Spec,wayback-history,EC_2008_to_present.pdf@20150501043052,False,
6E,2014-05-30,2000.0,2200.0,False,,Spec,wayback-history,EC_2008_to_present.pdf@20150501043052,False,
6E,2014-07-18,1750.0,1925.0,False,,Spec,wayback-history,EC_2008_to_present.pdf@20150501043052,False,
6E,2014-09-12,2000.0,2200.0,False,,Spec,wayback-history,EC_2008_to_present.pdf@20150501043052,False,
6E,2014-10-31,2100.0,2310.0,False,,Spec,wayback-history,EC_2008_to_present.pdf@20150501043052,False,
6E,2014-12-05,2400.0,2640.0,False,,Spec,wayback-history,EC_2008_to_present.pdf@20150501043052,False,
6E,2015-01-09,2600.0,2860.0,False,,Spec,wayback-history,EC_2008_to_present.pdf@20150501043052,False,
6E,2015-01-16,2800.0,3080.0,False,,Spec,wayback-history,EC_2008_to_present.pdf@20150501043052,False,
6E,2015-01-20,3100.0,3410.0,False,,Spec,wayback-history,EC_2008_to_present.pdf@20150501043052,False,
6E,2015-05-01,3300.0,3630.0,False,,Spec,wayback-history,EC_2008_to_present.pdf@20161130152107,False,
6E,2015-07-01,3550.0,3905.0,False,,Spec,wayback-history,EC_2008_to_present.pdf@20161130152107,False,
6E,2015-10-30,3300.0,3630.0,False,,Spec,wayback-history,EC_2008_to_present.pdf@20161130152107,False,
6E,2015-12-07,3550.0,3905.0,False,,Spec,wayback-history,EC_2008_to_present.pdf@20161130152107,False,
6E,2016-04-15,3350.0,3685.0,True,2016-04-14,Spec nan,advisory+wayback-history,/notices/clearing/2016/04/Chadv16-165.html,False,
6E,2016-06-27,3675.0,4043.0,True,2016-06-24,Spec nan,advisory+wayback-history,/notices/clearing/2016/06/Chadv16-247.html,False,
6E,2016-07-29,3350.0,3685.0,False,,Spec,wayback-history,EC_2008_to_present.pdf@20161130152107,False,
6E,2016-12-09,3050.0,3355.0,True,2016-12-08,Spec nan,advisory,/notices/clearing/2016/12/Chadv16-516.html,False,
6E,2017-01-13,2750.0,3025.0,True,2017-01-12,Spec nan,advisory,/notices/clearing/2017/01/Chadv17-028.html,False,
6E,2017-04-18,3100.0,3410.0,True,2017-04-17,Spec Month 1,advisory,/notices/clearing/2017/04/Chadv17-142.html,False,
6E,2017-05-12,2500.0,2750.0,True,2017-05-11,Spec Month 1,advisory,/notices/clearing/2017/05/Chadv17-167.html,False,
6E,2017-06-01,2100.0,2310.0,True,2017-05-31,Spec Month 1,advisory,/notices/clearing/2017/05/Chadv17-194.html,False,
6E,2020-08-28,2500.0,,False,,front-tier snapshot,snapshot-wayback+snapshot-live,EC-2020-to-present.pdf@20250910104548,False,
6E,2020-10-09,2900.0,,False,,front-tier snapshot,snapshot-wayback+snapshot-live,EC-2020-to-present.pdf@20250910104548,False,
6E,2020-11-13,2600.0,,False,,front-tier snapshot,snapshot-wayback+snapshot-live,EC-2020-to-present.pdf@20250910104548,False,
6E,2020-12-01,2300.0,,False,,front-tier snapshot,snapshot-wayback+snapshot-live,EC-2020-to-present.pdf@20250910104548,False,
