product,effective_date,resolution,detail
CL,2011-05-10,UNRESOLVED,wayback-history=5000.0 (CL_2008_to_present.pdf@20150906023638|Spec Mnth 29-40); wayback-history=6250.0 (CL_2009_to_present.pdf@20121109080028|Spec Mnth 1)
CL,2014-03-14,EXCLUDED-non-front-leg,wayback-history=1950.0 (CL_2009_to_present.pdf@20140826230415|Spec Mnth 19-28) vs snapshot levels [3100.0]
ZC,2010-07-02,EXCLUDED-non-front-leg,wayback-history=2000.0 (C_2008_to_present.pdf@20150528093444|Spec All Months) vs snapshot levels [850.0]
ZC,2010-11-10,EXCLUDED-non-front-leg,wayback-history=2750.0 (C_2008_to_present.pdf@20150528093444|Spec All Months) vs snapshot levels [1500.0]
ZC,2010-11-19,EXCLUDED-non-front-leg,wayback-history=3250.0 (C_2008_to_present.pdf@20150528093444|Spec All Months) vs snapshot levels [1500.0]
ZC,2011-01-14,EXCLUDED-non-front-leg,wayback-history=3500.0 (C_2008_to_present.pdf@20150528093444|Spec All Months) vs snapshot levels [1500.0]
ZC,2011-06-13,EXCLUDED-non-front-leg,wayback-history=3250.0 (C_2008_to_present.pdf@20150528093444|Spec All Months) vs snapshot levels [1750.0]
ZC,2011-07-08,EXCLUDED-non-front-leg,wayback-history=250.0 (C_2008_to_present.pdf@20121109080101|Spec) vs snapshot levels [1750.0]
ZC,2011-07-11,EXCLUDED-non-front-leg,wayback-history=250.0 (C_2008_to_present.pdf@20121109080101|Spec Mnth 1) vs snapshot levels [1750.0]
ZC,2011-07-25,EXCLUDED-non-front-leg,wayback-history=2750.0 (C_2008_to_present.pdf@20150528093444|Spec All Months) vs snapshot levels [1750.0]
ZC,2011-09-06,EXCLUDED-non-front-leg,wayback-history=2500.0 (C_2008_to_present.pdf@20150528093444|Spec All Months) vs snapshot levels [2000.0]
ZC,2012-04-25,EXCLUDED-non-front-leg,wayback-history=1250.0 (C_2008_to_present.pdf@20121109080101|Spec 2nd New Crop) vs snapshot levels [1750.0]
ZC,2012-07-10,EXCLUDED-non-front-leg,wayback-history=3750.0 (C_2008_to_present.pdf@20150528093444|Spec All Months) vs snapshot levels [2000.0]
ZC,2012-11-07,EXCLUDED-non-front-leg,wayback-history=1500.0 (C_2008_to_present.pdf@20140826133913|Spec 2nd New Crop) vs snapshot levels [2000.0]
ZC,2013-01-15,EXCLUDED-non-front-leg,wayback-history=3400.0 (C_2008_to_present.pdf@20150528093444|Spec All Months) vs snapshot levels [2000.0]
ZC,2014-02-14,EXCLUDED-non-front-leg,wayback-history=2500.0 (C_2008_to_present.pdf@20150528093444|Spec All Months) vs snapshot levels [1750.0]
ZC,2014-09-18,snapshot-confirmed,wayback-history=2500.0 (C_2008_to_present.pdf@20150528093444|Spec All Months); snapshot-wayback=1250.0 (C_2014_to_present.pdf@20171129074842|front-tier snapshot)
ZC,2015-01-09,EXCLUDED-non-front-leg,wayback-history=2250.0 (C_2008_to_present.pdf@20150528093444|Spec All Months) vs snapshot levels [1000.0]
ZC,2015-02-20,EXCLUDED-non-front-leg,wayback-history=2000.0 (C_2008_to_present.pdf@20150528093444|Spec All Months) vs snapshot levels [1000.0]
