product,effective_date,rate_label,base_label,tier_seq,initial,maintenance,currency,source_file,capture_ts,fmt,conflict_flag
6E,2000-01-01,Hedge/Member,hedge/member,1,1620.0,1620.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2000-01-01,Spec,spec,1,2187.0,1620.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2000-02-03,Hedge/Member,hedge/member,1,1800.0,1800.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2000-02-03,Spec,spec,1,2430.0,1800.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2000-05-30,Hedge/Member,hedge/member,1,2400.0,2400.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2000-05-30,Spec,spec,1,3240.0,2400.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2000-06-29,Hedge/Member,hedge/member,1,1800.0,1800.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2000-06-29,Spec,spec,1,2430.0,1800.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2000-08-31,Hedge/Member,hedge/member,1,1500.0,1500.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2000-08-31,Spec,spec,1,2025.0,1500.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2000-10-05,Hedge/Member,hedge/member,1,2400.0,2400.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2000-10-05,Spec,spec,1,3240.0,2400.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2000-11-02,Hedge/Member,hedge/member,1,2160.0,2160.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2000-11-02,Spec,spec,1,2916.0,2160.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2000-12-07,Hedge/Member,hedge/member,1,1800.0,1800.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2000-12-07,Spec,spec,1,2430.0,1800.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2001-01-04,Hedge/Member,hedge/member,1,1650.0,1650.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2001-01-04,Spec,spec,1,2228.0,1650.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2001-02-01,Hedge/Member,hedge/member,1,2520.0,2520.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2001-02-01,Spec,spec,1,3402.0,2520.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2001-03-01,Hedge/Member,hedge/member,1,1860.0,1860.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2001-03-01,Spec,spec,1,2511.0,1860.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2001-03-29,Hedge/Member,hedge/member,1,1980.0,1980.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2001-03-29,Spec,spec,1,2673.0,1980.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2001-05-03,Hedge/Member,hedge/member,1,1860.0,1860.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2001-05-03,Spec,spec,1,2511.0,1860.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2001-06-07,Hedge/Member,hedge/member,1,1740.0,1740.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2001-06-07,Spec,spec,1,2349.0,1740.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2001-09-06,Hedge/Member,hedge/member,1,1600.0,1600.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2001-09-06,Spec,spec,1,2160.0,1600.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2001-11-01,Hedge/Member,hedge/member,1,1500.0,1500.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2001-11-01,Spec,spec,1,2025.0,1500.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2002-01-31,Hedge/Member,hedge/member,1,1600.0,1600.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2002-01-31,Spec,spec,1,2160.0,1600.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2002-03-12,Hedge/Member,hedge/member,1,1500.0,1500.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2002-03-12,Spec,spec,1,2025.0,1500.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2002-05-30,Hedge/Member,hedge/member,1,1400.0,1400.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2002-05-30,Spec,spec,1,1890.0,1400.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2002-08-01,Hedge/Member,hedge/member,1,1800.0,1800.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2002-08-01,Spec,spec,1,2430.0,1800.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2002-08-29,Hedge/Member,hedge/member,1,2000.0,2000.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2002-08-29,Spec,spec,1,2700.0,2000.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2002-10-29,Hedge/Member,hedge/member,1,1900.0,1900.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2002-10-29,Spec,spec,1,2565.0,1900.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2002-12-05,Hedge/Member,hedge/member,1,1700.0,1700.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2002-12-05,Spec,spec,1,2295.0,1700.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2003-02-06,Hedge/Member,hedge/member,1,1600.0,1600.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2003-02-06,Spec,spec,1,2160.0,1600.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2003-03-06,Hedge/Member,hedge/member,1,1400.0,1400.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2003-03-06,Spec,spec,1,1890.0,1400.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2003-05-08,Hedge/Member,hedge/member,1,1700.0,1700.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2003-05-08,Spec,spec,1,2295.0,1700.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2003-06-05,Hedge/Member,hedge/member,1,2000.0,2000.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2003-06-05,Spec,spec,1,2700.0,2000.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2003-08-05,Hedge/Member,hedge/member,1,1800.0,1800.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2003-08-05,Spec,spec,1,2430.0,1800.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2003-10-02,Hedge/Member,hedge/member,1,1850.0,1850.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2003-10-02,Spec,spec,1,2498.0,1850.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2004-01-30,Hedge/Member,hedge/member,1,2400.0,2400.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2004-01-30,Spec,spec,1,3240.0,2400.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
6E,2004-03-15,Hedge/Member,hedge/member,1,2400.0,2400.0,USD,EC_prior_to_2009.pdf,20121109075907,OLD-B,
