source,fmt,raw,reason
SI_2009_to_december_2010.pdf,OLD-A,COMEX 5000 SILVER FUTURES (SI) | 1/8/2009 | ISO | Initial,token run not matching record order L1
SI_2009_to_may_2011.pdf,OLD-A,COMEX 5000 SILVER FUTURES (SI) | 1/8/2009 | ISO | Initial,token run not matching record order L1
GC_2009_to_august_2011.pdf,OLD-A,COMEX 100 GOLD FUTURES (GC) | 1/8/2009 | ISO | Initial,token run not matching record order L1
SP_2009_to_2013.pdf,NEW,2009-09-05 | S&P 500 FUTURES | CME | SP-1,too few tokens
SP_2009_to_2013.pdf,NEW,2009-09-05 | S&P 500 FUTURES | CME | SP-2,too few tokens
SP_2009_to_2013.pdf,NEW,2009-09-05 | S&P 500 FUTURES | CME | SP-3,too few tokens
SP_2009_to_2013.pdf,NEW,2009-06-06 | S&P 500 FUTURES | CME | SP-1,too few tokens
SP_2009_to_2013.pdf,NEW,2009-06-06 | S&P 500 FUTURES | CME | SP-2,too few tokens
SP_2009_to_2013.pdf,NEW,2009-06-06 | S&P 500 FUTURES | CME | SP-3,too few tokens
SP_2009_to_2013.pdf,NEW,2009-01-01 | S&P 500 FUTURES | CME | SP-1,too few tokens
SP_2009_to_2013.pdf,NEW,2009-01-01 | S&P 500 FUTURES | CME | SP-2,too few tokens
SP_2009_to_2013.pdf,NEW,2009-01-01 | S&P 500 FUTURES | CME | SP-3,too few tokens
CL-2019-10-11-to-2023-10-19.pdf,NEW,2023-07-27 | CRUDE OIL FUTURE NYMEX | NYM | 3450,too few tokens
(multiple),,"('CL', '2011-05-10', 'hedge/member', 4)","MAINTENANCE conflict (back-tier-regroup) across captures: [(5000.0, 5000.0), (5250.0, 5250.0)]"
(multiple),,"('CL', '2011-05-10', 'spec', 4)","MAINTENANCE conflict (back-tier-regroup) across captures: [(5500.0, 5000.0), (5775.0, 5250.0), (7087.5, 5250.0)]"
(multiple),,"('ZC', '2008-01-28', 'hedge/member all', 1)","MAINTENANCE conflict (FRONT-TIER) across captures: [(1000.0, 1000.0), (2200.0, 2200.0)]"
(multiple),,"('ZC', '2008-01-28', 'spec all', 1)","MAINTENANCE conflict (FRONT-TIER) across captures: [(1100.0, 1000.0), (2420.0, 2200.0)]"
(multiple),,"('ZC', '2008-03-27', 'hedge/member all', 1)","MAINTENANCE conflict (FRONT-TIER) across captures: [(1500.0, 1500.0), (3250.0, 3250.0)]"
(multiple),,"('ZC', '2008-03-27', 'spec all', 1)","MAINTENANCE conflict (FRONT-TIER) across captures: [(1650.0, 1500.0), (3575.0, 3250.0)]"
(multiple),,"('ZC', '2008-04-22', 'hedge/member all', 1)","MAINTENANCE conflict (FRONT-TIER) across captures: [(1000.0, 1000.0), (3500.0, 3500.0)]"
(multiple),,"('ZC', '2008-04-22', 'spec all', 1)","MAINTENANCE conflict (FRONT-TIER) across captures: [(1100.0, 1000.0), (3850.0, 3500.0)]"
(multiple),,"('ZC', '2008-06-12', 'hedge/member all', 1)","MAINTENANCE conflict (FRONT-TIER) across captures: [(1500.0, 1500.0), (3500.0, 3500.0)]"
(multiple),,"('ZC', '2008-06-12', 'spec all', 1)","MAINTENANCE conflict (FRONT-TIER) across captures: [(1650.0, 1500.0), (3850.0, 3500.0)]"
(multiple),,"('ZC', '2009-05-06', 'hedge/member all', 1)","MAINTENANCE conflict (FRONT-TIER) across captures: [(1200.0, 1200.0), (3000.0, 3000.0)]"
(multiple),,"('ZC', '2009-05-06', 'spec all', 1)","MAINTENANCE conflict (FRONT-TIER) across captures: [(1320.0, 1200.0), (3300.0, 3000.0)]"
(multiple),,"('ZC', '2009-10-27', 'hedge/member all', 1)","MAINTENANCE conflict (FRONT-TIER) across captures: [(1100.0, 1100.0), (2750.0, 2750.0)]"
(multiple),,"('ZC', '2009-10-27', 'spec all', 1)","MAINTENANCE conflict (FRONT-TIER) across captures: [(1210.0, 1100.0), (3025.0, 2750.0)]"
(multiple),,"('ZC', '2010-05-21', 'hedge/member all', 1)","MAINTENANCE conflict (FRONT-TIER) across captures: [(850.0, 850.0), (2250.0, 2250.0)]"
(multiple),,"('ZC', '2010-05-21', 'spec all', 1)","MAINTENANCE conflict (FRONT-TIER) across captures: [(935.0, 850.0), (2475.0, 2250.0)]"
(multiple),,"('ZC', '2010-10-11', 'hedge/member all', 1)","MAINTENANCE conflict (FRONT-TIER) across captures: [(1500.0, 1500.0), (2500.0, 2500.0)]"
(multiple),,"('ZC', '2010-10-11', 'spec all', 1)","MAINTENANCE conflict (FRONT-TIER) across captures: [(1650.0, 1500.0), (2750.0, 2500.0)]"
(multiple),,"('ZC', '2012-06-27', 'hedge/member all', 1)","MAINTENANCE conflict (FRONT-TIER) across captures: [(2000.0, 2000.0), (3000.0, 3000.0)]"
(multiple),,"('ZC', '2012-06-27', 'hedge/member new crop', 1)","MAINTENANCE conflict (FRONT-TIER) across captures: [(2000.0, 2000.0), (3000.0, 3000.0)]"
(multiple),,"('ZC', '2012-06-27', 'spec all', 1)","MAINTENANCE conflict (FRONT-TIER) across captures: [(2200.0, 2000.0), (3300.0, 3000.0)]"
(multiple),,"('ZC', '2012-06-27', 'spec new crop', 1)","MAINTENANCE conflict (FRONT-TIER) across captures: [(2200.0, 2000.0), (2700.0, 2000.0), (3300.0, 3000.0)]"
(multiple),,"('ZC', '2013-08-20', 'hedge/member all', 1)","MAINTENANCE conflict (FRONT-TIER) across captures: [(1500.0, 1500.0), (3000.0, 3000.0)]"
(multiple),,"('ZC', '2013-08-20', 'hedge/member new crop', 1)","MAINTENANCE conflict (FRONT-TIER) across captures: [(1500.0, 1500.0), (3000.0, 3000.0)]"
(multiple),,"('ZC', '2013-08-20', 'spec all', 1)","MAINTENANCE conflict (FRONT-TIER) across captures: [(1650.0, 1500.0), (3300.0, 3000.0)]"
(multiple),,"('ZC', '2013-08-20', 'spec new crop', 1)","MAINTENANCE conflict (FRONT-TIER) across captures: [(1650.0, 1500.0), (3300.0, 3000.0)]"
(multiple),,"('ZC', '2013-08-28', 'hedge/member all', 1)","MAINTENANCE conflict (FRONT-TIER) across captures: [(1750.0, 1750.0), (3500.0, 3500.0)]"
(multiple),,"('ZC', '2013-08-28', 'hedge/member new crop', 1)","MAINTENANCE conflict (FRONT-TIER) across captures: [(1750.0, 1750.0), (3500.0, 3500.0)]"
(multiple),,"('ZC', '2013-08-28', 'spec all', 1)","MAINTENANCE conflict (FRONT-TIER) across captures: [(1925.0, 1750.0), (3850.0, 3500.0)]"
(multiple),,"('ZC', '2013-08-28', 'spec new crop', 1)","MAINTENANCE conflict (FRONT-TIER) across captures: [(1925.0, 1750.0), (3850.0, 3500.0)]"
(multiple),,"('ZC', '2013-11-13', 'hedge/member all', 1)","MAINTENANCE conflict (FRONT-TIER) across captures: [(1750.0, 1750.0), (2900.0, 2900.0)]"
(multiple),,"('ZC', '2013-11-13', 'spec all', 1)","MAINTENANCE conflict (FRONT-TIER) across captures: [(1925.0, 1750.0), (3190.0, 2900.0)]"
(multiple),,"('ZC', '2014-05-09', 'hedge/member all', 1)","MAINTENANCE conflict (FRONT-TIER) across captures: [(1500.0, 1500.0), (3000.0, 3000.0)]"
(multiple),,"('ZC', '2014-05-09', 'spec all', 1)","MAINTENANCE conflict (FRONT-TIER) across captures: [(1650.0, 1500.0), (3300.0, 3000.0)]"
