product,effective_date,maintenance,margin_short,prev_maintenance,direction,source_file,capture_ts
6E,2020-06-24,2275.0,,,series_start,EC-2020-to-present.pdf,20250910104548
6E,2020-08-28,2500.0,,2275.0,increase,EC-2020-to-present.pdf,20250910104548
6E,2020-10-09,2900.0,,2500.0,increase,EC-2020-to-present.pdf,20250910104548
6E,2020-11-13,2600.0,,2900.0,decrease,EC-2020-to-present.pdf,20250910104548
6E,2020-12-01,2300.0,,2600.0,decrease,EC-2020-to-present.pdf,20250910104548
6E,2021-01-14,2000.0,,2300.0,decrease,EC-2020-to-present.pdf,20250910104548
6E,2021-04-16,2200.0,,2000.0,increase,EC-2020-to-present.pdf,20250910104548
6E,2022-02-25,2400.0,,2200.0,increase,EC-2020-to-present.pdf,20250910104548
6E,2022-07-15,2650.0,,2400.0,increase,EC-2020-to-present.pdf,20250910104548
6E,2023-06-16,2400.0,,2650.0,decrease,EC-2020-to-present.pdf,20250910104548
6E,2023-11-03,2100.0,,2400.0,decrease,EC-2020-to-present.pdf,20250910104548
6E,2024-10-04,2400.0,,2100.0,increase,EC-2020-to-present.pdf,20250910104548
6E,2024-10-18,2800.0,,2400.0,increase,EC-2020-to-present.pdf,20250910104548
6E,2024-11-14,2300.0,,2800.0,decrease,EC-2020-to-present.pdf,20250910104548
6E,2025-02-07,2600.0,,2300.0,increase,EC-2020-to-present.pdf,20250910104548
6E,2025-04-04,2900.0,,2600.0,increase,EC-2020-to-present.pdf,20250910104548
6E,2025-04-11,3400.0,,2900.0,increase,EC-2020-to-present.pdf,20250910104548
6J,2014-01-02,3150.0,,,series_start,JY_2014_to_present.pdf,20171129082046
6J,2014-05-30,3000.0,,3150.0,decrease,JY_2014_to_present.pdf,20171129082046
6J,2014-07-18,2750.0,,3000.0,decrease,JY_2014_to_present.pdf,20171129082046
6J,2014-09-05,2250.0,,2750.0,decrease,JY_2014_to_present.pdf,20171129082046
6J,2015-01-20,2600.0,,2250.0,increase,JY_2014_to_present.pdf,20171129082046
6J,2015-01-23,3000.0,,2600.0,increase,JY_2014_to_present.pdf,20171129082046
6J,2015-05-08,2600.0,,3000.0,decrease,JY_2014_to_present.pdf,20171129082046
