source_file,capture_ts,product,fmt,window_start,window_end,n_pages,first_row_date,last_row_date,n_rows
EC-2020-to-present.pdf,20250910104548,6E,NEW,,,787,2020-06-24,2025-06-24,29878
EC_2008_to_present.pdf,20121109075818,6E,OLD-A,2000-07-06,2012-07-31,2,2008-01-28,2012-06-29,40
EC_2008_to_present.pdf,20130326062952,6E,OLD-A,2008-01-01,2013-02-22,2,2008-01-28,2013-01-15,44
EC_2008_to_present.pdf,20150501043052,6E,OLD-A,2008-01-01,2015-02-24,3,2008-01-28,2015-01-20,66
EC_2008_to_present.pdf,20161130152107,6E,OLD-A,2009-01-01,2016-08-15,2,2009-03-12,2016-07-29,60
EC_prior_to_2009.pdf,20121109075907,6E,OLD-B,,,3,2000-01-01,2007-12-10,82
JY-2020-to-present.pdf,20250910102216,6J,NEW,,,787,2020-06-24,2025-06-24,29878
JY_2008_to_present.pdf,20121109075722,6J,OLD-A,2000-07-06,2012-07-31,2,2008-01-01,2012-06-04,50
JY_2008_to_present.pdf,20130326062820,6J,OLD-A,2008-01-01,2013-02-22,2,2008-01-01,2013-02-08,56
JY_2008_to_present.pdf,20140826232236,6J,OLD-A,2008-01-01,2014-06-30,3,2008-01-01,2014-05-30,66
JY_2008_to_present.pdf,20150528073736,6J,OLD-A,2008-01-01,2015-02-24,3,2008-01-01,2015-01-23,74
JY_2014_to_present.pdf,20171129082046,6J,NEW,,,439,2014-01-02,2017-11-07,20596
JY_prior_to_2009.pdf,20121109080040,6J,OLD-B,,,3,2000-02-03,2007-08-17,78
JY_prior_to_2009.pdf,20171129083710,6J,OLD-B,,,3,2000-02-03,2007-08-17,78
CL-2019-10-11-to-2023-10-19.pdf,20250211175325,CL,NEW,,,3543,2023-07-27,2023-10-19,7519
CL-2020-to-2023-10-19.pdf,20250910101914,CL,NEW,,,2922,2020-06-24,2023-10-19,111010
CL-2020-to-2023-10-19.pdf,20260823084623,CL,NEW,,,2909,2020-06-30,2023-10-19,110502
CL-2023-to-present.pdf,20250910114030,CL,NEW,,,1377,2023-10-20,2025-06-24,52320
CL-2023-to-present.pdf,20260823084623,CL,NEW,,,2206,2023-10-20,2026-06-30,83819
CL_2008_to_present.pdf,20150528091914,CL,OLD-A,2008-01-01,2015-02-24,22,2009-01-12,2015-02-06,1236
CL_2008_to_present.pdf,20150906023638,CL,OLD-A,2008-01-01,2015-02-24,20,2010-04-23,2015-02-06,1133
CL_2009_to_present.pdf,20121109080028,CL,OLD-A,2000-07-06,2012-07-31,5,2009-01-12,2012-07-09,210
CL_2009_to_present.pdf,20130326063102,CL,OLD-A,2008-01-01,2013-02-22,5,2009-01-12,2013-01-29,226
CL_2009_to_present.pdf,20140826230415,CL,OLD-A,2008-01-01,2014-06-30,8,2009-01-12,2014-04-04,418
CL_2014_to_present.pdf,20171129073711,CL,NEW,,,1545,2014-01-02,2017-11-07,72516
GC-2020-to-present.pdf,20250910111656,GC,NEW,,,754,2020-06-24,2025-06-24,28645
GC_2008_to_present.pdf,20150528073842,GC,OLD-A,2008-01-01,2015-02-24,4,2009-01-08,2014-10-10,172
GC_2008_to_present.pdf,20160909201258,GC,OLD-A,2009-01-01,2016-08-15,6,2009-01-08,2016-08-11,256
GC_2009-2011.pdf,20121109075714,GC,OLD-A,2009-06-20,2012-08-06,2,2009-08-21,2012-05-29,78
GC_2009_to_august_2011.pdf,20120627071902,GC,OLD-A,2000-07-11,2011-08-11,2,2009-01-08,2011-08-11,50
GC_2009_to_present.pdf,20140828163145,GC,OLD-A,2008-01-01,2014-06-30,4,2009-01-08,2014-07-14,142
HG-2020-to-present.pdf,20250910115445,HG,NEW,,,1376,2020-06-24,2025-06-24,52255
HG_2008_to_present.pdf,20150528080103,HG,OLD-A,2008-01-01,2015-02-24,7,2009-01-08,2015-01-16,324
HG_2008_to_present.pdf,20170329060838,HG,OLD-A,2009-01-01,2016-08-15,11,2009-01-08,2016-05-06,600
HG_2009_to_present.pdf,20121109075740,HG,OLD-A,2000-01-01,2012-08-27,2,2009-01-08,2012-04-16,36
HG_2009_to_present.pdf,20130326062833,HG,OLD-A,2008-01-01,2013-02-22,2,2009-01-08,2013-02-12,44
HG_2009_to_present.pdf,20140826123833,HG,OLD-A,2008-01-01,2014-06-30,2,2009-01-08,2014-07-14,60
SI-2020-to-present.pdf,20250910112428,SI,NEW,,,686,2020-06-24,2025-06-24,26049
SI_2008_to_present.pdf,20150528081149,SI,OLD-A,2008-01-01,2015-02-24,6,2009-01-08,2015-02-06,238
SI_2008_to_present.pdf,20170329060901,SI,OLD-A,2009-01-01,2016-08-15,7,2009-01-08,2016-08-16,296
SI_2009_to_december_2010.pdf,20110601081327,SI,OLD-A,2000-01-01,2010-12-31,2,2009-01-08,2010-12-17,46
SI_2009_to_may_2011.pdf,20110708070333,SI,OLD-A,2000-04-13,2011-05-13,3,2009-01-08,2011-05-09,102
