date,open,high,low,close
1999-01-04,12.2,12.42,12.06,12.34
1999-01-05,12.3,12.36,11.93,11.99
1999-01-06,12.4,12.85,12.1,12.8
1999-01-07,12.75,13.28,12.55,13.09
1999-01-08,12.9,13.25,12.78,13.07
1999-01-11,13.32,13.75,13.26,13.44
1999-01-12,13.25,13.25,12.85,12.89
1999-01-13,12.65,12.79,12.22,12.38
1999-01-14,12.46,12.54,12.16,12.22
1999-01-15,12.32,12.42,12.16,12.2
1999-01-19,12.24,12.58,12.16,12.19
1999-01-20,12.1,12.2,11.84,11.87
1999-01-21,12.1,12.55,12.08,12.46
1999-01-22,12.5,12.8,12.12,12.69
1999-01-25,12.45,12.6,12.38,12.44
1999-01-26,12.25,12.34,11.96,12.06
1999-01-27,11.98,12.44,11.95,12.32
1999-01-28,12.3,12.47,12.21,12.45
1999-01-29,12.43,12.8,12.35,12.75
1999-02-01,12.8,12.9,12.33,12.37
1999-02-02,12.3,12.35,12.11,12.3
1999-02-03,12.23,12.69,12.15,12.38
1999-02-04,12.27,12.4,11.99,12.02
1999-02-05,11.95,12.1,11.7,11.8
1999-02-08,11.83,11.94,11.57,11.67
1999-02-09,11.6,11.79,11.53,11.68
1999-02-10,11.73,11.94,11.68,11.75
1999-02-11,11.85,12.04,11.83,11.93
1999-02-12,12.02,12.12,11.94,11.96
1999-02-16,11.99,12.03,11.46,11.48
1999-02-17,11.47,11.74,11.41,11.63
1999-02-18,11.57,12.33,11.53,12.17
1999-02-19,11.95,12.19,11.88,11.9
1999-02-22,11.87,12.18,11.86,12.07
1999-02-23,12.23,12.57,12.22,12.48
1999-02-24,12.3,12.74,12.26,12.61
1999-02-25,12.57,12.8,12.41,12.68
1999-02-26,12.55,12.7,12.24,12.27
1999-03-01,12.37,12.46,12.18,12.24
1999-03-02,12.33,12.55,12.32,12.51
1999-03-03,12.65,12.99,12.64,12.93
1999-03-04,12.85,13.5,12.82,13.35
1999-03-05,13.4,13.5,13.26,13.3
1999-03-08,13.63,14.03,13.54,13.63
1999-03-09,13.6,14.03,13.43,13.85
1999-03-10,14.2,14.75,13.71,14.69
1999-03-11,14.55,14.8,14.27,14.31
1999-03-12,14.95,15.05,14.4,14.49
1999-03-15,14.4,14.6,14.35,14.5
1999-03-16,14.5,14.6,14.4,14.54
1999-03-17,14.72,15.25,14.7,15.15
1999-03-18,15.6,15.62,14.9,15.1
1999-03-19,15.08,15.4,14.93,15.36
1999-03-22,15.36,15.77,15.1,15.74
1999-03-23,15.52,15.73,15.43,15.51
1999-03-24,15.7,15.83,15.07,15.34
1999-03-25,15.24,15.73,15.12,15.67
1999-03-26,15.86,16.2,15.68,16.17
1999-03-29,16.28,16.48,15.93,16.44
1999-03-30,16.3,16.84,16.17,16.8
1999-03-31,16.5,17.05,16.4,16.76
1999-04-01,16.4,16.69,16.4,16.64
1999-04-05,16.55,17.03,16.52,16.95
1999-04-06,16.78,16.95,16.65,16.81
1999-04-07,16.55,16.64,15.98,16.03
1999-04-08,16.1,16.25,15.61,15.83
1999-04-09,16.06,16.84,16,16.57
1999-04-12,16.48,16.62,16.33,16.4
1999-04-13,16.6,16.85,16.52,16.78
1999-04-14,16.55,16.58,16.24,16.55
1999-04-15,16.68,17,16.52,16.89
1999-04-16,16.8,17.5,16.72,17.34
1999-04-19,17.34,17.8,17.32,17.63
1999-04-20,17.58,17.78,17.4,17.48
1999-04-21,17.5,18.05,17.42,17.92
1999-04-22,17.82,18.22,17.75,18.18
1999-04-23,18.05,18.18,17.83,17.94
1999-04-26,17.75,17.81,17.45,17.66
1999-04-27,17.65,17.83,17.55,17.81
1999-04-28,18.03,18.54,18.01,18.45
1999-04-29,18.36,18.58,18.26,18.53
1999-04-30,18.72,18.83,18.1,18.66
1999-05-03,18.5,19,18.5,18.85
1999-05-05,18.61,19.05,18.45,18.98
1999-05-06,18.79,18.79,18.2,18.32
1999-05-07,18.35,18.35,17.85,18.22
1999-05-10,18.05,18.55,18,18.5
1999-05-11,18.23,18.27,17.75,18.06
1999-05-12,17.5,17.7,17.33,17.57
1999-05-13,17.7,18.1,17.58,18.03
1999-05-14,18.05,18.12,17.76,17.98
1999-05-17,17.75,17.89,17.54,17.83
1999-05-18,17.4,17.5,16.96,17.05
1999-05-19,17.08,17.25,16.85,16.89
1999-05-20,16.78,17.36,16.71,17.07
1999-05-21,17.17,17.43,17.15,17.41
1999-05-24,17.4,17.54,17.04,17.06
1999-05-25,16.9,17.18,16.77,17.14
1999-05-26,17.2,17.57,17.2,17.35
1999-05-27,17.27,17.48,17.15,17.17
1999-05-28,17.05,17.1,16.8,16.84
1999-06-01,16.6,16.6,16.21,16.34
1999-06-02,16.44,16.74,16.39,16.65
1999-06-03,16.69,16.75,16.48,16.74
1999-06-04,16.83,17.38,16.8,17.32
1999-06-07,17.34,18.08,17.28,17.86
1999-06-08,17.7,18.07,17.63,17.66
1999-06-09,17.5,18.03,17.46,17.99
1999-06-10,18,18.17,17.77,17.85
1999-06-11,17.85,18.45,17.81,18.43
1999-06-14,18.38,18.62,18.25,18.33
1999-06-15,18.33,18.79,18.3,18.67
