date,open,high,low,close
1999-01-04,500.5,501,486,494
1999-01-05,492,506,491.5,504.2
1999-01-06,521,524,512.5,516.5
1999-01-07,528,529.5,521.5,524
1999-01-08,520.5,530.5,517.5,528.8
1999-01-11,527,538.5,521.5,535.5
1999-01-12,534.5,535,522.5,524.5
1999-01-13,517.5,520.5,507,519
1999-01-14,516,518,508,517.5
1999-01-15,512.5,515,508,513
1999-01-19,513,518,506,513.3
1999-01-20,514.5,518,513,516.3
1999-01-21,516.5,521,508.5,512.3
1999-01-22,510,513.5,508.5,509.5
1999-01-25,510,519,510,518.2
1999-01-26,515,516.5,508,511.5
1999-01-27,508,513.5,506,510.3
1999-01-28,510.5,525,508,524.5
1999-01-29,521.5,529,521,523.5
1999-02-01,528,532,523.5,530.8
1999-02-02,526,547.5,524,546.8
1999-02-03,550,558,544,554.3
1999-02-04,557.5,580,554,576
1999-02-05,567,571,561,564.2
1999-02-08,559,563.5,555.5,562.2
1999-02-09,556,559,550,550.5
1999-02-10,554,556.5,547,548.8
1999-02-11,552,557.5,550.5,556.5
1999-02-12,565,570,563.5,566.2
1999-02-16,557,557,531,544.5
1999-02-17,542,547.5,540,540.8
1999-02-18,547,551,544,548
1999-02-19,554.5,560.5,552.5,560
1999-02-22,553,554.5,542.5,546
1999-02-23,552,558.5,547.5,548.8
1999-02-24,549.5,556,535,539.8
1999-02-25,540.5,562,538.5,556.5
1999-02-26,556,564,546,563
1999-03-01,560,563,549,552.5
1999-03-02,545.5,558,529,532.3
1999-03-03,532.5,533,517,524.5
1999-03-04,520,531.5,519.5,527.3
1999-03-05,529,532.5,513,520.3
1999-03-08,524.5,530,524,528.8
1999-03-09,532,532,521,524
1999-03-10,524,530,522.5,526.8
1999-03-11,527.5,535,526.5,534.3
1999-03-12,530,535.5,525,531
1999-03-15,518,523,508,509.8
1999-03-16,506,509,495.5,504.3
1999-03-17,502.5,507,498.5,504
1999-03-18,503.5,504.5,499,501.5
1999-03-19,505,509.5,503,504.5
1999-03-22,505.5,511.5,505.5,510.7
1999-03-23,511,513,503.5,511
1999-03-24,509,511,506.5,507.5
1999-03-25,505,512,504,510.5
1999-03-26,504,510.5,504,509
1999-03-29,508.5,518,507.5,511.5
1999-03-30,506,506.5,499.5,500.3
1999-03-31,500,506,496,497
1999-04-01,501.5,504,500,502.8
1999-04-05,502.5,502.5,490.5,491.8
1999-04-06,493,496.5,488.5,494.8
1999-04-07,494.5,498.5,494,496
1999-04-08,496,498.5,488,488.5
1999-04-09,490.5,494.5,484.5,493
1999-04-12,498.5,500.5,488.5,489.5
1999-04-13,486.5,494,482.5,490.5
1999-04-14,492,495,482,486
1999-04-15,487,503,487,501
1999-04-16,502,506.5,499.5,504
1999-04-19,506,517,505,515
1999-04-20,513,518,510,512.5
1999-04-21,510,517,508.5,515.5
1999-04-22,514,520,509,516.7
1999-04-23,519.5,521.5,515,516.6
1999-04-26,516,516.5,507,511.8
1999-04-27,513.5,520,511.5,519.6
1999-04-28,522,529.5,520.5,526.6
1999-04-29,531,542,528.5,541.3
1999-04-30,544,548.5,536.5,543
1999-05-03,541.5,547,538,538.5
1999-05-05,531,541,531,539.7
1999-05-06,540,545,537.5,538.7
1999-05-07,526.5,545.5,526.5,544.5
1999-05-10,538.5,547,537.5,543
1999-05-11,540,548,538,541.5
1999-05-12,540.5,542.5,536.5,538.3
1999-05-13,538,558,536.5,557
1999-05-14,549,553,534,539
1999-05-17,540.5,543.5,538,539
1999-05-18,539,541,527,533.8
1999-05-19,529,533,525.5,528.5
1999-05-20,531.5,535.5,530,531
1999-05-21,529.5,531,519,521
1999-05-24,514,517,505,505.5
1999-05-25,507,510.5,505.5,506
1999-05-26,504.5,512,504,505.5
1999-05-27,495,499.5,493,494
1999-05-28,491,494,488,489.5
1999-06-01,488.5,501,488.5,498.5
1999-06-02,497,502.5,494.5,497.8
1999-06-03,497,500,493,493.8
1999-06-04,491,496.5,485,494
