date,open,high,low,close
1999-01-04,214.5,215.75,214,214.75
1999-01-05,215.5,218,215.25,217.25
1999-01-06,218.5,224,218.5,223.75
1999-01-07,222.75,223.25,219.5,219.75
1999-01-08,220.5,224.5,220.5,221.75
1999-01-11,222.75,223,219.5,219.75
1999-01-12,218.5,219,216.25,217.25
1999-01-13,215.25,215.75,214.25,215.25
1999-01-14,215.75,216.25,215,215.5
1999-01-15,216,217.25,215.25,215.5
1999-01-19,214.25,214.25,211,213.75
1999-01-20,214,216,214,215
1999-01-21,217,218,213.75,216
1999-01-22,216.5,217,215.75,216.25
1999-01-25,213.5,215.75,212.25,215.5
1999-01-26,215.75,217,215.5,215.75
1999-01-27,215.25,216.25,214.75,215.5
1999-01-28,215.25,219,214.75,216
1999-01-29,216,217.5,214,214.5
1999-02-01,214,216,213.5,215.75
1999-02-02,216.25,218.25,216.25,217.5
1999-02-03,220,223,215.25,215.75
1999-02-04,216.25,217.5,215.75,217.25
1999-02-05,217.5,218.75,217,218.5
1999-02-08,217.75,219,217.25,218
1999-02-09,216.75,218,216.25,216.75
1999-02-10,216,220.75,215.5,220.25
1999-02-11,220.5,220.75,215.5,216
1999-02-12,216.5,217,214.25,215
1999-02-16,214.5,216.25,213.5,214
1999-02-17,213.25,214.25,212,213.5
1999-02-18,214.75,215.5,213,215
1999-02-19,215.25,215.75,213.75,215
1999-02-22,220.25,220.5,217.5,219.75
1999-02-23,220.5,221,219.5,220
1999-02-24,219,219.25,213.25,213.5
1999-02-25,213,214.75,212.5,213
1999-02-26,212.5,213.25,210,210.25
1999-03-01,211.25,215.25,210.75,211.25
1999-03-02,212.25,216.5,212.25,215.75
1999-03-03,214.5,216.5,214,214.75
1999-03-04,215.25,218.75,215,217
1999-03-05,215.5,217,215,216
1999-03-08,217.5,222,217.25,220.75
1999-03-09,221.5,225.5,219.25,221.25
1999-03-10,221.5,224.25,221,223.5
1999-03-11,224,225,222.75,224.5
1999-03-12,224.5,224.75,222,222.75
1999-03-15,220.5,221.5,219.25,220
1999-03-16,221,224,219.75,223.75
1999-03-17,223,226.75,223,225.75
1999-03-18,226.25,228,224,224.25
1999-03-19,224.5,229.5,224.5,229
1999-03-22,228.75,232.75,228.25,232.25
1999-03-23,230,230.5,228.25,228.5
1999-03-24,230.5,230.75,227,228
1999-03-25,226.75,231.75,226.25,229.75
1999-03-26,229.25,233,229,232.25
1999-03-29,230,232.25,229.25,232
1999-03-30,230.5,234.25,230.25,232
1999-03-31,230.5,230.5,225,225.5
1999-04-01,226,226,221.25,222
1999-04-05,221,221.5,218.25,218.75
1999-04-06,218.75,220.75,215.5,216.25
1999-04-07,216.25,218.25,215.5,217.75
1999-04-08,217.25,217.75,215.75,216.5
1999-04-09,216.25,218,215.5,217.75
1999-04-12,218.25,218.75,214,214.25
1999-04-13,219.75,221.75,219.75,221.25
1999-04-14,222.5,225.75,222.25,223.25
1999-04-15,224,226,223,225.75
1999-04-16,225.5,226.5,223.25,223.5
1999-04-19,223.5,227.75,223.5,226.25
1999-04-20,227.25,230,227.25,229.75
1999-04-21,229.5,229.75,228.5,229.5
1999-04-22,229,231,225,225.25
1999-04-23,226.5,227.25,224.5,225.75
1999-04-26,225,225,221,221.5
1999-04-27,222.75,223.25,219.5,219.75
1999-04-28,221,222.25,217.5,219.5
1999-04-29,221,221.5,218,218.75
1999-04-30,219,220.25,218.25,218.75
1999-05-03,220,220.75,217,220.5
1999-05-05,221.5,222.5,220.75,221.75
1999-05-06,221,221.75,219.5,219.75
1999-05-07,220.25,220.25,217.25,218.5
1999-05-10,219.75,222,218.5,221.75
1999-05-11,221.25,223,220.5,222.25
1999-05-12,222.5,226.25,221.75,223.25
1999-05-13,224,226.25,223.5,224
1999-05-14,225,226,220.75,221.75
1999-05-17,223.25,225,222.5,223.75
1999-05-18,222,222.75,219.75,221.25
1999-05-19,221.75,222.25,219.5,219.75
1999-05-20,220.25,220.5,218.75,219.25
1999-05-21,219,219.25,218.25,218.5
1999-05-24,217.75,217.75,211.5,211.75
1999-05-25,212.75,215,212.25,214.75
1999-05-26,214,216.25,213.75,214.75
1999-05-27,215.25,216.75,214.25,216.5
1999-05-28,219,220.5,218.5,219.5
1999-06-01,215,216.5,214,216.25
1999-06-02,217.25,217.25,214.75,216.75
1999-06-03,218.25,224,218,223.25
1999-06-04,221.5,223,219.75,220.75
1999-06-07,223.25,226.5,222.25,222.5
1999-06-08,220,224,219.5,223
1999-06-09,221.75,223,220,220.75
1999-06-10,220.5,221.25,219.5,220.25
1999-06-11,220.5,220.5,216.25,217.25
1999-06-14,215,218.75,214.5,218.25
1999-06-15,216.75,217.25,214,214.25
1999-06-16,214.5,218,214.5,217.5
1999-06-17,219.75,220,216.25,217.25
1999-06-18,233,233.5,230.75,231.75
1999-06-21,230,230.5,228.25,230
1999-06-22,230.75,231,227,227.25
1999-06-23,227.5,229.25,226.25,228
1999-06-24,224.5,224.5,222,224
1999-06-25,224.5,225,222.5,223.5
1999-06-28,222,225,222,222.75
1999-06-29,227,227.75,224.5,224.75
1999-06-30,224.75,227.5,224,226.25
1999-07-01,223.5,223.5,217.75,218.25
1999-07-02,218,218.25,211.75,212.5
1999-07-06,203,205,200.5,204.75
1999-07-07,204.25,205,201.25,204.25
1999-07-08,205,206.25,199,199.5
1999-07-09,198.5,199.5,196,196.5
1999-07-12,196.75,199.75,194.25,196.75
1999-07-13,195.5,197,195,196.5
1999-07-14,199,202.5,197.75,201
1999-07-15,205,206.25,203.25,205.25
1999-07-16,201.5,202,198,198.75
1999-07-19,203,205,202,203.25
1999-07-20,203,208.75,202.75,207
1999-07-21,212,218.5,210,215
1999-07-22,217,222,213.5,215.25
1999-07-23,225,226.5,222,224.5
1999-07-26,216.5,218.75,214.5,216.5
1999-07-27,212,212.5,207.5,208.5
1999-07-28,209.75,212.75,206.25,207
1999-07-29,206.75,211.5,206.25,211.25
1999-07-30,210.25,214.75,210,214.5
1999-08-02,224.5,226.5,224,226.5
1999-08-03,237,238.5,230.5,230.75
1999-08-04,229,237,229,236.5
1999-08-05,236,236,231.5,235
1999-08-06,232.75,236.5,231.25,235.5
1999-08-09,235,238,232,236
1999-08-10,239.5,243.5,237,240.75
1999-08-11,239,239,234.75,235.25
1999-08-12,223.25,225,223.25,223.25
1999-08-13,220.5,223,220,222.75
1999-08-16,226,227.75,225,227.25
1999-08-17,232,233,229,229.5
1999-08-18,226.75,230,225.75,228
1999-08-19,229.5,230.75,224.5,226.25
1999-08-20,226,226.25,222.25,222.5
1999-08-23,219.75,220.75,218,220
1999-08-24,220,220.5,216.25,216.5
1999-08-25,215.5,220,215.25,219.75
1999-08-26,218.5,218.5,215.5,215.75
1999-08-27,216,217.5,215,215.25
1999-08-30,216,219,214.75,216.75
1999-08-31,218.25,220.75,218.25,219.25
1999-09-01,220.25,222,219.25,221
1999-09-02,220.5,222.75,220.25,222
1999-09-03,223,223.5,222,222.5
1999-09-07,226.5,226.5,224.5,225.25
1999-09-08,222.5,223,220.75,221
1999-09-09,220.25,221.25,218.75,219
1999-09-10,218,218,215.75,217.75
1999-09-13,218,218,215.5,216
1999-09-14,216,216.25,214.25,214.75
1999-09-15,214,214.25,212,212.25
1999-09-16,212.75,213,210.25,212.75
1999-09-17,213.5,213.5,210,210.25
1999-09-20,209.75,211,209.25,210.25
1999-09-21,211,211.5,209,210.75
1999-09-22,211.25,211.75,210,210.25
1999-09-23,210,210,208,208.25
1999-09-24,208.25,212.75,207.75,208.75
1999-09-27,210,212.5,208.75,212
1999-09-28,212.5,215.75,212.25,213.75
1999-09-29,215,215,212.75,213.75
1999-09-30,210,210.5,208,208.25
1999-10-01,207.5,207.5,204.75,205
1999-10-04,203.75,204.5,203,204.25
1999-10-05,203.75,205,203.25,203.5
1999-10-06,203.5,205,203.5,204.75
1999-10-07,204.25,204.75,202.25,203.25
1999-10-08,203,203.5,198.25,198.5
1999-10-11,198.5,199,197.5,198.75
1999-10-12,198.75,202.75,198.75,201.25
1999-10-13,200,201.75,200,200.5
1999-10-14,200.5,201.75,200,201
1999-10-15,201,201,199,199.25
1999-10-18,199.25,204,198.25,202.25
1999-10-19,202.25,202.75,200.75,201
1999-10-20,201.25,203.75,200.25,200.5
1999-10-21,200.25,201,199.5,200
1999-10-22,199.5,200,199.25,199.5
1999-10-25,200,202.25,199,201.75
1999-10-26,201.5,206,201.25,201.75
1999-10-27,200.5,201.5,200,200.5
1999-10-28,201.5,202,199.25,199.5
1999-10-29,199.75,200.5,199,199.5
1999-11-01,200,200.75,198,198.25
1999-11-02,199,200.25,198.5,199
1999-11-03,198.5,203,198.25,201.5
1999-11-04,202,202.75,201.5,201.75
1999-11-05,202.5,203,200.5,201
1999-11-08,201.75,203.75,201.25,202
1999-11-09,202,202.25,200.5,200.75
1999-11-10,199,199,195,195.25
1999-11-11,195.75,196.5,194.25,195.25
1999-11-12,195,195.5,193.75,194.25
1999-11-15,194.75,196.5,194.5,196
1999-11-16,197,198.5,196,196.25
1999-11-17,206.5,207.5,205,205.25
1999-11-18,205,205.75,203,203.5
1999-11-19,202.25,203.75,202,203.5
1999-11-22,203.5,205.5,202.75,205.25
1999-11-23,204.25,206.5,203,205.75
1999-11-24,206,206.25,204.75,205
1999-11-29,203,204.75,200.75,201
1999-11-30,201.75,202.5,200,200.75
1999-12-01,201.75,204,200.75,202.75
1999-12-02,202.5,203.75,201.75,202.5
1999-12-03,201.25,203,201,201.5
1999-12-06,200.5,205.5,200.25,204.5
1999-12-07,203.75,204.5,203,203.25
1999-12-08,201.5,201.75,199.5,200
1999-12-09,200,200.75,197,197.25
1999-12-10,197,199,196.5,198.25
1999-12-13,195.5,196.25,195.25,195.75
1999-12-14,197.25,199.5,195.5,199
1999-12-15,199,199.75,197.5,199
1999-12-16,199.25,202,199.25,200
1999-12-17,200,202.5,200,201.5
1999-12-20,203.5,204.25,202,203.25
1999-12-21,202.75,203.25,202,202.25
1999-12-22,202,203.75,202,203.5
1999-12-23,204,204.75,203,204.25
1999-12-27,206,206.75,202.75,204
1999-12-28,203.75,205,202.25,204.75
1999-12-29,204,204.5,203.5,203.75
1999-12-30,204,205,203.5,204.5
2000-01-03,205.75,205.75,200.5,200.75
2000-01-04,201.5,203.5,200.75,203
2000-01-06,203,205.75,203,203.75
2000-01-07,203.25,207.75,202.75,207
2000-01-10,205.75,209.25,204.75,208.5
2000-01-11,208,209.25,206.25,207.25
2000-01-12,213.25,216.75,212,215.5
2000-01-13,215.5,221.5,214.5,220.75
2000-01-14,220,221.75,218.5,219
2000-01-18,216.5,220.5,215.75,220
2000-01-19,220.25,221,218.75,220.75
2000-01-20,221,221.5,218.75,220.75
2000-01-21,221,223,220,222.75
2000-01-24,224.5,227.5,223.75,227.25
2000-01-25,227,228.25,226,227.5
2000-01-26,226,226,222.75,223
2000-01-27,222,226.5,221.25,225.75
2000-01-28,225.5,226.75,222.75,223.5
2000-01-31,221,221,218.5,220
2000-02-01,220.75,222.25,219.5,222
2000-02-02,222,223,220.5,220.75
2000-02-03,220.25,220.25,217.25,218
2000-02-04,215.75,220.25,214.25,219.75
2000-02-07,220.5,222,220,221.5
2000-02-08,219.75,222.5,219.25,221.25
2000-02-09,219.5,222.75,219.5,222.5
2000-02-10,223.25,226,222.5,225.5
2000-02-11,225,225.75,221.25,221.75
