date,open,high,low,close
1999-01-04,538,545.5,538,543.75
1999-01-05,543,550,541,549.25
1999-01-06,549,556.5,549,553.5
1999-01-07,551,551,544,544.75
1999-01-08,545.5,559.5,545.5,550
1999-01-11,550,551,542,542.25
1999-01-12,542,542,534,535
1999-01-13,533,533,528,530.5
1999-01-14,531,534.5,530.25,532.25
1999-01-15,533,533,529.75,530.75
1999-01-19,525.5,528,522.5,525.75
1999-01-20,526,529.75,525.5,528
1999-01-21,528.5,532,525.25,530.5
1999-01-22,530,531,525.5,525.75
1999-01-25,522.75,522.75,514,517.5
1999-01-26,517,520.25,513.5,514
1999-01-27,513.5,517.5,511.5,513
1999-01-28,512.5,516.5,508.75,510.25
1999-01-29,509.75,512.25,506.5,506.75
1999-02-01,507.5,509.5,502.25,508.5
1999-02-02,508.75,517,508.75,513.25
1999-02-03,512.5,519,506.5,507.5
1999-02-04,507.5,509.5,503.75,508.75
1999-02-05,509.5,514,509,513.75
1999-02-08,512.75,515.5,507.5,508
1999-02-09,508,509,498.75,499
1999-02-10,498.5,503,495.5,499.25
1999-02-11,499.5,501.5,494.5,495.25
1999-02-12,496,498,491.75,492.25
1999-02-16,492,495,487.5,487.75
1999-02-17,487.5,489,483.25,486.25
1999-02-18,486.25,487.75,478.25,482
1999-02-19,481.5,482.75,476.5,478.25
1999-02-22,477.75,478,464.5,474
1999-02-23,474.25,478.5,474,474
1999-02-24,474,474,457,457.5
1999-02-25,457.5,459.75,454,454.5
1999-02-26,453,457.5,449,449.75
1999-03-01,450.5,458.5,450.5,454.5
1999-03-02,454.5,464.5,454.5,462.5
1999-03-03,462.25,462.5,458,458.5
1999-03-04,460,466.5,459,459.5
1999-03-05,455,458.5,451,455.75
1999-03-08,455.75,465,455.75,462.75
1999-03-09,466,470.5,461,464.5
1999-03-10,460,470,460,469.5
1999-03-11,468,472,466,472
1999-03-12,471,472,467,468.5
1999-03-15,466.5,466.5,462.75,464.5
1999-03-16,466,478.5,465,477.25
1999-03-17,477,488,475.5,476.25
1999-03-18,477,479.5,474,475.75
1999-03-19,478,485,477.75,484.25
1999-03-22,489,500,487,499.25
1999-03-23,498.5,498.75,492.5,493.25
1999-03-24,493.25,502,486,487.75
1999-03-25,487,500,483.25,499
1999-03-26,497.5,504,494,496.75
1999-03-29,495.5,497,490.75,496
1999-03-30,496.5,502.5,495,501.5
1999-03-31,501,506,482,483.75
1999-04-01,485,486.5,476.25,483.25
1999-04-05,482.75,487.75,479,482
1999-04-06,482,484.5,477,477.75
1999-04-07,477.5,480.5,473,480
1999-04-08,479.75,481.5,476.25,477.25
1999-04-09,477,481.5,475,480.5
1999-04-12,481,485,477.5,479.75
1999-04-13,479,486,479,485.25
1999-04-14,485.5,494.75,485.5,489.25
1999-04-15,489.25,492.5,487.5,489.5
1999-04-16,489.5,491.75,485.5,486.75
1999-04-19,486.75,490.75,484,488
1999-04-20,488,496.5,488,495.5
1999-04-21,495,495.5,491.5,493.75
1999-04-22,493.25,498.5,482,483
1999-04-23,482.5,486.5,482,485.25
1999-04-26,484.75,485,478.25,481
1999-04-27,481.5,484.5,477,478
1999-04-28,478,480.5,474.25,479.5
1999-04-29,479.75,482,472.5,473.5
1999-04-30,473.5,477.5,470.5,476.5
1999-05-03,477.5,479.75,473,479
1999-05-04,480.5,483,476.5,478.5
1999-05-05,478.5,478.75,475,476.25
1999-05-06,475,478.75,473.75,475
1999-05-07,474,474.5,467.5,469.25
1999-05-10,471,472,467.25,471.25
1999-05-11,470.75,470.75,468.5,469.25
1999-05-12,470.25,473,467,468
1999-05-13,466.75,468.25,461.5,462
1999-05-14,463,464.5,459.5,461.75
1999-05-17,462.5,465,462.25,463
1999-05-18,462,470.5,458,470.5
1999-05-19,474.5,477,471,471.5
1999-05-20,470.75,474.5,467.5,468
1999-05-21,467.5,467.5,461.5,461.75
1999-05-24,461,461.5,452.25,455
1999-05-25,454.75,460,454.5,459.75
1999-05-26,458.75,460.5,455.25,455.5
1999-05-27,455.25,458.5,455.25,457.25
1999-05-28,457.5,467.5,457.5,461.75
1999-06-01,455,458.5,453,458
1999-06-02,458.25,459.25,453.25,458.75
1999-06-03,460,469.5,459.5,465.5
1999-06-04,463.5,468.75,463.5,464.5
1999-06-07,466,474,466,468.25
1999-06-08,468.5,471.75,465.25,469
1999-06-09,469,477,466,471.5
1999-06-10,470.5,472.5,468.25,469
1999-06-11,468,471.75,466,470.25
1999-06-14,466.75,472,464,471.5
1999-06-15,471,472.5,463,463.25
1999-06-16,463,466.5,462,464.5
1999-06-17,464.5,470,462.25,463
1999-06-18,462.75,475.5,461.75,474.75
1999-06-21,475.75,480.5,467,471.5
1999-06-22,470.25,473.5,467.5,467.75
1999-06-23,467.25,470.5,465.5,465.75
1999-06-24,465.25,466.75,449,452.75
1999-06-25,453,457,449,450.5
1999-06-28,448.5,452,445,445.75
1999-06-29,447,452.25,443,444
1999-06-30,444.5,449.5,443,448.5
1999-07-01,451.5,451.5,441,442.25
1999-07-02,442.75,443.5,430,430.5
1999-07-06,419,419,412,413.75
1999-07-07,415.5,415.5,409.5,414.5
1999-07-08,414,416.5,409.5,410
1999-07-09,407,418,401.5,413.5
1999-07-12,415,428,415,424
1999-07-13,420,424,417.5,424
1999-07-14,428,430,425,426
1999-07-15,432,432,427,429.5
1999-07-16,426,426,418,419
1999-07-19,427.5,428,423,425
1999-07-20,430,436,426,435.5
1999-07-21,431.75,456,431,451.25
1999-07-22,450.5,459,446,449.25
1999-07-23,449.5,474,449,472
1999-07-26,472,472,448,453.75
1999-07-27,453,456,427.5,429.5
1999-07-28,429,435,425,425.5
1999-07-29,424.5,436.5,423,431.25
1999-07-30,431,438,431,434.5
1999-08-02,436.25,467,436.25,464.5
1999-08-03,466,482,465.5,472
1999-08-04,469.5,489,468,486
1999-08-05,482,482.25,469,471.75
1999-08-06,467,479,463.5,474.5
1999-08-09,470,479,466,478.75
1999-08-10,484.5,492.5,482.5,485.5
1999-08-11,478.5,482.5,475.5,477.5
1999-08-12,450,455,440.5,442.5
1999-08-13,438,446,438,445.5
1999-08-16,450.5,456,449.5,456
1999-08-17,461,479,461,464.5
1999-08-18,461,468,460,462.25
1999-08-19,468,474,467,473
1999-08-20,474,476,467,467.5
1999-08-23,457,466.5,453.75,465.5
1999-08-24,472,474,459,461.75
1999-08-25,463,469.5,459.25,469.25
